ProfUIN,ProfName,DepartmentName,Age,Gender
288,Brenda Lacey,PHIL,32,Male
289,Arnold Springs,PHYS,30,Female
290,Mary Smith,PSY,30,Female
291,Arthur Pokorny,ECE,62,Female
292,James Huston,PHYS,60,Male
293,Beulah Coleman,ASTR,27,Male
294,Paul Leng,ECE,70,Female
295,Vicky Robertson,MATH,50,Female
296,Rita Mayberry,BIO,69,Female
297,Kathryn Stewart,MATH,60,Male
298,Matthew Richardson,HIST,35,Female
299,Christine Harris,CHEM,61,Female
300,Jennifer Mcmahen,PSY,48,Female
301,Stephanie Lyall,BIO,30,Male
302,James Beaucage,STAT,56,Male
303,Harold Butler,MATH,55,Female
304,Jose Cole,CSCE,34,Male
305,Bud Sanford,PHYS,58,Male
306,John Black,PHIL,35,Female
307,Sara Jennings,ASTR,46,Male
308,Eric Forbis,ASTR,54,Male
309,Gary Ryan,PSY,41,Female
310,Harry Dew,ECON,35,Female
311,Mark Hood,ASTR,63,Female
312,Johnnie Hanover,ECE,45,Male
313,Larry Wisnowski,PHIL,59,Female
314,Thomas Lara,ART,50,Female
315,Sandra Wold,ART,37,Male
316,Marie Cross,MATH,35,Male
317,Donna Coram,STAT,41,Male
318,Charles Rivera,ECE,33,Female
319,Phyllis Christain,STAT,43,Female
320,Ray Benally,ENG,34,Female
321,Amanda Rhodes,ART,58,Female
322,Jennifer Baker,ENG,70,Male
323,Veronica Mccoy,CSCE,48,Female
324,Jeffery Hughes,PSY,32,Female
325,Amy Meece,ECON,37,Male
326,Ashley Braun,ART,40,Female
327,Travis Milton,ECON,27,Female
328,Hugh Rivera,ART,47,Male
329,Nicholas Webb,BIO,70,Male
330,Steven Dowling,ART,29,Female
331,Tyler Norman,MUS,67,Female
332,Mary Rodriguez,PHYS,64,Male
333,Debra Paul,ASTR,51,Female
334,Brian Trammell,ASTR,35,Female
335,Ali Pearson,MUS,55,Female
336,Barbara Bullard,ART,48,Female
337,James Cook,PHYS,28,Male
338,Wilma Bonawitz,BIO,57,Female
339,Patricia Kaufman,CSCE,62,Female
340,Aaron Kimber,PHIL,28,Female
341,Barbara Felix,STAT,57,Female
342,Robert Mccarver,ART,48,Male
343,Billy Swanson,HIST,38,Female
344,Andrew Pollard,ASTR,31,Male
345,Emerita Stevenson,PHIL,51,Male
346,Stephanie Fackrell,ECE,55,Male
347,Carol Crawford,ART,42,Male
348,George Wehausen,ASTR,37,Female
349,Mary Nelson,CSCE,60,Male
350,Kaye Kradel,ECE,39,Female
351,Linda Castillo,PHIL,47,Male
352,Eric Quezada,ECON,66,Male
353,Douglas Baker,ASTR,36,Female
354,Gordon Maxson,CSCE,53,Male
355,John Perlman,STAT,45,Male
356,Cynthia Gandy,ECE,35,Female
357,Jimmie Jauregui,MUS,30,Female
358,Omar Johnson,CSCE,50,Male
359,Keren Hannasch,ENG,36,Male
360,Michael Lofton,ECE,54,Female
361,Gene Transou,PSY,62,Male
362,Lisa Altom,PHIL,25,Female
363,Andrew Walker,MATH,41,Male
364,Aida Johnson,HIST,56,Male
365,Lorenzo Smith,PHIL,68,Female
366,Jacqueline Coughlin,PHYS,41,Male
367,Daisy Love,MATH,48,Female
368,Ruth Luke,STAT,52,Female
369,Pamela Dominguez,MUS,40,Male
370,Donald Mccall,ECE,48,Female
371,John Kinder,PHYS,61,Female
372,Ellen Medeiros,ECE,50,Male
373,Lisa Raybon,MUS,58,Female
374,Maria Kurz,HIST,26,Female
375,Karen Marsh,BIO,45,Female
376,Patricia Mcmahan,ASTR,57,Male
377,Nancy Brimer,PSY,66,Female
378,Willie Hamm,HIST,53,Female
379,Yesenia Batista,CHEM,53,Female
380,William Harrison,ASTR,44,Female
381,Michael Zeman,ECON,55,Male
382,Madeline Randolph,STAT,55,Female
383,Janet Holler,CHEM,70,Male
384,Mary Parsons,PHIL,59,Male
385,Nancy Dickens,BIO,45,Male
386,Richard Hackathorn,PSY,43,Female
387,Lacy Anderson,ASTR,45,Female
388,Eunice Nunez,CHEM,70,Female
389,Dorothy Pollina,MATH,50,Female
390,Francisco Brown,ECON,55,Female
391,Chris Egan,CSCE,59,Male
392,Anthony Betz,ECON,66,Female
393,Guillermo Porter,PHIL,25,Female
394,Billy Duckworth,PSY,45,Female
395,Cameron Oliver,ENG,60,Female
396,Julie Treaster,MUS,69,Female
397,Nikki Murphy,ENG,58,Female
398,Hilda Rubio,PHIL,32,Male
399,Ted Conway,MATH,56,Male
400,Jody Bell,PHIL,49,Female
401,Walter Gard,ENG,28,Male
402,Steven Buford,STAT,51,Female
403,Charles Griffin,PHIL,59,Male
404,Jeffrey Dunham,CSCE,60,Male
405,Taylor Blackshear,BIO,52,Female
406,Darrell Medina,HIST,28,Male
407,Edwin Jackson,PSY,61,Male
408,Alicia Kimbrell,CSCE,43,Male
409,Brian Farmer,MUS,52,Male
410,Susan Hess,ASTR,54,Male
411,Julie Arp,BIO,53,Male
412,Shirley Rosati,BIO,34,Male
413,Lisa Fuson,ECON,38,Male
414,Maria Bolding,PHYS,31,Male
415,Debra Oliver,MUS,70,Female
416,Linda Davison,MUS,60,Male
417,Brian Brown,MATH,30,Male
418,Robert Barber,PHIL,25,Female
419,David Chaney,CSCE,36,Female
420,Amelia Walker,PSY,69,Female
421,Stephen Wojcik,CSCE,29,Female
422,Sue Davis,ECE,31,Female
423,Wanda Goodin,PHIL,43,Male
424,James Brown,ECON,31,Male
425,Jim Warren,PHIL,49,Female
426,David Greco,STAT,43,Female
427,John Twyman,MATH,48,Female
428,Randall Waters,CSCE,49,Male
429,Leonardo Copeland,CHEM,26,Female
430,Barbara Baird,CHEM,36,Male
431,Timothy Taylor,PHIL,56,Male
432,Paul Carter,ENG,58,Male
433,Solomon Harden,CHEM,28,Male
434,Steven Dibartolomeo,PHIL,68,Female
435,Kevin Peraza,PHYS,26,Female
436,Bryan Buchmann,ASTR,31,Male
437,William Peacock,STAT,37,Male
438,Troy Christie,ASTR,60,Male
439,Debra Galloway,HIST,25,Male
440,John Heard,MATH,48,Male
441,Clara Haney,CHEM,39,Female
442,Meagan Davidson,PHYS,47,Male
443,Henry Ruka,BIO,62,Female
444,Cesar Mcelhenney,BIO,53,Male
445,Catherine Wilkins,CHEM,47,Male
446,Christine Watson,PSY,70,Female
447,Anthony Brown,HIST,29,Male
448,Michael Whisby,PHIL,32,Female
449,Steve Krizan,BIO,32,Female
450,Juan Fraley,ECON,58,Female
451,Gary Pierce,PHIL,57,Female
452,Donald Guy,ASTR,55,Male
453,Michael Obrien,PHIL,62,Female
454,Judy Goff,ECE,55,Male
455,William Wilkens,PHIL,52,Female
456,Pedro Carroll,ECON,25,Female
457,Joan Oetzel,PHIL,44,Male
458,Muriel Harper,ENG,43,Female
459,Amber Bueno,STAT,61,Male
460,Tammy Hanson,ECE,63,Male
461,Hoyt Brownlee,MATH,58,Female
462,Joseph Owen,PSY,61,Male
463,Jason Benefield,HIST,51,Male
464,Dennis Mildenstein,ART,36,Male
465,John Leggett,ECON,45,Female
466,Thomas Riley,ENG,60,Male
467,Silas Pomeroy,MUS,34,Male
468,Roberta Gossett,ECE,40,Female
469,Lucile Guerra,BIO,39,Female
470,Gary Rodriguez,CHEM,52,Male
471,William Anderson,MUS,62,Male
472,Clarence Tilman,PHYS,47,Male
473,Margaret Gaskins,CSCE,35,Female
474,Joseph Knight,PHIL,55,Female
475,Virginia Mejia,ECON,41,Male
476,Jacqueline Williams,ASTR,43,Male
477,Oscar Carriere,PHIL,67,Male
478,Sam Rauh,PSY,30,Male
479,Harold Worley,PHYS,28,Male
480,Douglas Shaw,HIST,36,Female
481,Michael Palmer,ECON,46,Female
482,Richard Panzarella,MATH,31,Male
483,Darla Batz,STAT,62,Male
484,William Apodaca,ECON,65,Male
485,Jan Williamson,CHEM,34,Male
486,Cynthia Sykes,ENG,67,Female
487,Joseph Howard,ART,30,Male
488,Jessie Jenkins,ECON,62,Male
489,Christopher Anderson,CHEM,30,Male
490,Maria Mauldin,ART,36,Female
491,Etta Robert,CSCE,70,Male
492,Genaro Durdan,PSY,67,Female
493,Steven Jenkins,MATH,39,Male
494,Heather Gordon,ECE,33,Female
495,Jo Mccrary,ECON,63,Female
496,Wayne Rouse,ECON,29,Male
497,Kara Walker,BIO,39,Female
498,Theresa Curtis,PHIL,27,Female
499,Mario Rutherford,MUS,39,Female
500,Mitchell Rush,ART,53,Female
501,Christian Coria,ECE,54,Female
502,Edward Schultz,PHIL,41,Female
503,Joan Spangler,CHEM,60,Male
504,Jack Delarosa,PHYS,34,Male
505,Beverly Gambino,PHIL,61,Female
506,Sandra Layton,PHYS,69,Female
507,Jon Grawe,ENG,25,Male
508,Steven Richardson,BIO,46,Male
509,Jose Jensen,ASTR,46,Female
510,Willie Burdette,BIO,40,Male
511,Bernard Orabuena,CHEM,48,Male
512,Richard Gugler,PSY,70,Male
513,Herbert Ashton,PHYS,32,Male
514,Stephen Manygoats,BIO,59,Female
515,Justine Fortney,MATH,48,Female
516,Donald Gallman,ECON,33,Female
517,James Muller,ECON,67,Female
518,Luis Baker,MATH,25,Female
519,Larry Reid,CSCE,51,Male
520,Paul Jacobs,ART,62,Male
521,Grady Sullivan,ASTR,47,Female
522,Mark Latham,ASTR,39,Female
523,Edmund Villanvera,PHIL,44,Male
524,Ralph Moberly,ECON,27,Male
525,Roger Cook,CHEM,37,Male
526,Charles Munselle,ECON,38,Male
527,Diane Lowe,ECE,52,Male
528,Michelle Jeffery,ASTR,42,Female
529,Heather Bennett,STAT,43,Male
530,James Blumenstock,ASTR,44,Male
531,Glenn Farr,ENG,43,Female
532,James Cassano,ENG,46,Female
533,Ryan Wolford,MATH,53,Male
534,Judy Mudge,CSCE,63,Male
535,Lois Krum,PSY,67,Male
536,Tommy Blackburn,ASTR,60,Male
537,Walter White,CSCE,69,Female
538,Robert Heim,BIO,62,Male
539,William Patterson,ASTR,57,Female
540,Lorraine Noble,PHYS,48,Male
541,Sammy Standifer,PSY,27,Male
542,Cicely Richardson,PHYS,56,Male
543,Michelle Lang,CSCE,34,Female
544,Diana Hwang,ENG,68,Female
545,Brian Brown,CHEM,38,Male
546,Amber Dougherty,PHYS,52,Male
547,Mary Kennedy,ECON,48,Female
548,Robert Collins,MUS,70,Female
549,Ella Brown,BIO,43,Female
550,Matthew Wilson,STAT,61,Female
551,Lloyd Bell,CHEM,38,Male
552,Sophia Tsuda,PHYS,66,Male
553,Preston Tibbetts,PSY,43,Female
554,Leona Garcia,PSY,41,Male
555,Jennifer Carter,ENG,47,Male
556,John Borovec,ASTR,25,Female
557,Russell Doll,BIO,50,Male
558,Sara Terry,MUS,65,Male
559,Lorraine Bradley,ASTR,43,Male
560,Anthony Spencer,MATH,29,Female
561,Scott Reed,ENG,67,Male
562,Steven Knost,PSY,46,Male
563,Joshua Friesen,CSCE,33,Female
564,Maria Redmond,ENG,32,Female
565,Consuelo Radden,PSY,42,Male
566,Alan Crocker,CSCE,44,Male
567,Mary Johnson,CHEM,41,Male
568,Jason Rockett,CHEM,64,Female
569,Janie Martin,MATH,56,Male
570,Robert Mena,CHEM,25,Female
571,Antoinette Hoy,ART,56,Female
572,Diana Burchette,ECON,43,Female
573,Valerie White,PSY,62,Female
574,Onie Cummins,ECON,40,Male
575,Lorene Langlois,ECON,43,Male
576,Daisy Barrett,MATH,31,Female
577,Barbara Lopez,ART,32,Female
578,Marcus Delacerda,PHIL,66,Female
579,Larry Jamison,ECON,27,Male
580,Cheryl Bonner,PHIL,28,Male
581,Shirley Hayden,MATH,46,Female
582,James Avalos,ART,36,Male
583,Frederick Blazejewski,ECE,58,Male
584,Alicia Padilla,MATH,42,Female
585,Pearl Marston,BIO,41,Male
586,Dung Eason,ART,62,Male
587,Sharon Himes,ART,64,Male
588,Heather Degeorge,MATH,43,Female
589,Gary Revilla,ASTR,61,Female
590,Linda Figgins,ECE,38,Female
591,John Lesage,ENG,57,Female
592,Ann Schwalb,PHIL,38,Male
593,Cruz Hall,PHIL,63,Male
594,Edna Cheney,MATH,46,Male
595,Sonya Valentino,BIO,41,Male
596,Renetta Gadson,PSY,45,Male
597,Anne Rackley,CSCE,53,Male
598,Ross Garcia,STAT,50,Female
599,Michelle Confer,HIST,67,Female
600,Jasmine Wolford,ENG,35,Male
601,Charles Mankowski,PHIL,70,Female
602,Shelby Sharpe,HIST,36,Male
603,Alicia Chesser,MATH,68,Male
604,Emmaline Gustafson,PHYS,26,Female
605,Beth Robinson,HIST,28,Female
606,Harold Brown,HIST,68,Female
607,Sheila Mui,STAT,27,Male
608,Rosa Maurer,MUS,38,Female
609,Julia Sawicki,MATH,56,Female
610,Christopher Mitchell,PSY,57,Male
611,Fannie Nisbett,STAT,63,Female
612,Joanne Stewart,ASTR,30,Female
613,Martin Osullivan,CHEM,54,Female
614,Bruce Proctor,ENG,58,Male
615,Peter Johnson,BIO,62,Female
616,Gary Sliwa,HIST,51,Female
617,Michael Baltimore,CHEM,38,Male
618,Ruben Patterson,PHYS,34,Female
619,Adan Aaberg,CSCE,30,Female
620,Jesse Lyndon,PHYS,61,Male
621,Tara Coulter,BIO,57,Female
622,Daniel Carder,PHIL,52,Female
623,William Hobdy,ECE,60,Female
624,William Petrillo,PSY,34,Male
625,William Morris,BIO,32,Female
626,Joseph Newton,PSY,38,Male
627,Agnes Allen,MATH,28,Female
628,Louis Kane,ECON,28,Male
629,Maryjo Alvarado,MUS,47,Male
630,Jane Bolton,HIST,28,Male
631,Armando Jones,MUS,45,Female
632,Douglas Adler,STAT,25,Female
633,Faye Crowther,ASTR,28,Female
634,Lisa Christian,PHIL,36,Male
635,Jessica Hunter,PSY,41,Female
636,Annie Debartolo,PSY,44,Female
637,Jonathan Ruiz,ECE,36,Female
638,Sarah Eddy,ART,38,Female
639,Douglas Drath,ENG,45,Male
640,Susan Gorius,STAT,64,Female
641,Stephanie Brody,ART,69,Female
642,Raul Thomas,STAT,42,Male
643,Molly Hawkins,ENG,28,Female
644,Kevin Smith,PHIL,40,Male
645,Alice Iglesias,CSCE,53,Male
646,Charles Bates,ECON,69,Female
647,Albert Harris,PHYS,31,Male
648,William Clark,CHEM,50,Male
649,Roxanne Landrum,ENG,67,Female
650,Jessica Palmer,ENG,38,Female
651,Lee Shields,ART,44,Female
652,Barbara Sergio,PHIL,42,Male
653,Dennis Gardiner,ART,33,Female
654,Karla Miller,CHEM,41,Female
655,Wayne Scott,HIST,34,Female
656,Bryan Taylor,MUS,25,Male
657,Christopher Manteca,PSY,44,Female
658,Claire Miller,STAT,66,Male
659,Marissa Hanway,ART,37,Female
660,Marsha Chavis,ART,48,Male
661,Andy Smith,ECON,60,Male
662,Anna Rubio,BIO,49,Female
663,Hazel Hopper,MUS,68,Female
664,Jeffrey Batten,HIST,28,Male
665,Mary Owens,ART,42,Male
666,Norman Cervantes,ASTR,36,Male
667,Sam Long,CSCE,26,Female
668,Carleen Rodriguez,ASTR,26,Female
669,Frank Choate,ECON,54,Male
670,Shirley Moss,ASTR,54,Female
671,Jose Newson,ECE,34,Male
672,Jennie Sokolowich,ENG,53,Female
673,Craig Whitford,ECE,44,Female
674,Christine Terrell,STAT,25,Female
675,Patrick Lemay,ECON,30,Male
676,Landon Salazar,PHIL,49,Female
677,Janet Jensen,MATH,50,Male
678,Ryan Patter,CHEM,54,Male
679,Vincent Silva,PHIL,46,Male
680,Linda Crewe,STAT,70,Female
681,Ruby Becerra,BIO,48,Female
682,Donna Propheter,MATH,50,Male
683,John Russell,ART,35,Female
684,Darius Moskowitz,HIST,50,Male
685,Bill Boles,ENG,31,Female
686,Thomas Toro,PHYS,50,Male
687,Judy Hudson,MATH,34,Female
688,Virginia Lynch,PHIL,49,Male
689,Rosetta Ashby,ART,48,Female
690,Johnathan Sessoms,CSCE,68,Female
691,Carolyn Brown,ENG,70,Female
692,Stanley Perez,MATH,48,Male
693,Luis Poggio,ECE,35,Male
694,Noelle Linen,ENG,39,Male
695,Normand Olson,ASTR,40,Female
696,Latonya Boivin,PHIL,63,Female
697,Michael Hills,PHIL,32,Male
698,Frank Smith,ECON,61,Male
699,Larry Lore,MUS,32,Female
700,Kevin Jamerson,CSCE,51,Male
701,Howard Akins,ECON,45,Female
702,Pedro Neal,PHIL,56,Male
703,James Carter,ECE,31,Female
704,Carl Rudder,ECON,67,Female
705,Delbert Valentin,ECE,36,Male
706,Duane Shin,ENG,65,Male
707,Sherri Rau,CHEM,45,Female
708,Amber Canipe,STAT,47,Male
709,Timothy Baker,CHEM,34,Female
