UIN,StuName,BirthYear,Gender,Phone,Major
10082,Erin Vargas,2001,Male,1.490032423,Astronomy
10083,Kymberly Oldham,2004,Male,4.368721764,Philosophy
10084,Gabriela Kain,1999,Male,5.244005089,Physics
10085,Bradford Crawford,2004,Male,4.132811297,Economics
10086,Karen Plienis,2005,Male,1.925426615,Philosophy
10087,Eunice Whitney,2003,Female,3.365057008,Art
10088,Kelly Minor,2000,Male,1.723427716,Statistics
10089,Louise White,2002,Female,4.947495976,Psychology
10090,Eli Hunter,2002,Male,7.12728841,Electrical Eng
10091,James Mayne,2004,Female,7.70235328,Engineering
10092,Marion Sams,2003,Male,7.955753996,Art
10093,Kevin Lewis,2002,Female,7.400212246,Electrical Eng
10094,Kenneth Robertson,2004,Male,7.25300859,Electrical Eng
10095,Augustine Riley,2000,Female,9.790100657,Electrical Eng
10096,Ryan Figueroa,1999,Female,1.153615148,Mathematics
10097,Jeremiah Ogilvie,2004,Male,1.130197844,Astronomy
10098,Clifford Daniel,2001,Female,3.613963414,Electrical Eng
10099,Michael Bell,2002,Male,2.498523689,Philosophy
10100,Albert Hartwell,2002,Male,3.279196256,Astronomy
10101,Lester Crowe,2004,Female,8.903578602,Art
10102,Daniel Devore,2003,Female,6.410648973,Mathematics
10103,Jean Roebuck,2003,Female,9.75027349,Engineering
10104,Maria Wiseman,2005,Female,8.87485748,Philosophy
10105,Amanda Fenton,2005,Male,5.508896438,History
10106,Marsha Nolazco,1999,Female,9.207182656,Mathematics
10107,Judith Leclair,2002,Male,8.15579765,History
10108,Kimberley Caverly,2004,Male,5.355719519,Biology
10109,Susan Patterson,2003,Male,9.716104488,Engineering
10110,Monserrate Cole,2005,Female,2.830724344,Psychology
10111,Darwin Medina,2001,Male,9.21289356,Physics
10112,Amanda Washington,2004,Female,8.73190222,Chemistry
10113,Richard Pagani,2002,Male,4.707514208,Mathematics
10114,Martha Chun,2005,Male,3.773083298,Computer Science
10115,Camille Williams,2005,Female,8.794498531,Computer Science
10116,Linda Carriere,2000,Male,6.558803257,Astronomy
10117,Alice Clifton,2000,Male,3.134413104,Computer Science
10118,Charlie Jones,2000,Female,9.277789326,Art
10119,Michael Fields,1999,Female,3.13982737,Biology
10120,Mary Henderson,2002,Female,3.278948721,Engineering
10121,Arthur Leigh,1999,Male,2.842761933,Psychology
10122,Rose Kerfien,2003,Female,9.64195828,Mathematics
10123,Ruben Jacobson,2005,Female,8.121582139,Mathematics
10124,Margaret Sanchez,2002,Male,7.477507596,Mathematics
10125,Jared Rosier,2004,Male,4.377540451,History
10126,Mary Bartz,2004,Male,1.272967127,Psychology
10127,Elsie Downing,2004,Female,9.375403868,History
10128,William Lopez,2003,Male,2.846528405,Electrical Eng
10129,Joel Cates,2002,Male,8.80661622,Astronomy
10130,Maxine Lobue,2002,Male,3.159852904,Statistics
10131,Celesta Behm,2000,Female,3.625419542,History
10132,David Martinez,2005,Female,4.14212431,Art
10133,Alfredo Mallory,2005,Male,3.235756036,Psychology
10134,Irene Adler,2001,Female,2.506524898,Statistics
10135,Evelyn Cathey,2001,Female,7.16591617,Statistics
10136,Benjamin Richardson,2003,Male,7.190960535,Statistics
10137,Peggy Lopez,2005,Female,6.103361774,Economics
10138,Ethan Pittman,2003,Male,8.569524509,Computer Science
10139,Marlene Brown,2005,Male,3.586987551,Economics
10140,Sophia Inman,1999,Male,7.456003541,Mathematics
10141,Cinderella Delarosa,2005,Female,7.96661853,Engineering
10142,Steven Salley,2004,Male,7.733935146,Psychology
10143,Crystal Friesen,2003,Male,9.960722456,Chemistry
10144,William Foster,2002,Female,5.356351889,Psychology
10145,Francis Umphrey,2005,Female,7.919008776,Electrical Eng
10146,Michael Weltha,1999,Female,6.657695905,Chemistry
10147,Josephine Kissee,2002,Male,5.162499461,Statistics
10148,Patricia Delfuente,2001,Female,2.265009964,Philosophy
10149,Jose Porter,2005,Female,2.92737933,Statistics
10150,Merle Barnes,2003,Female,5.564251594,Economics
10151,Donna Choi,2001,Male,8.178256718,History
10152,Lindy Downs,2001,Male,9.601811471,Electrical Eng
10153,Damien Shannon,2000,Male,1.385881771,Music
10154,Hugh Raab,1999,Male,2.136185928,Chemistry
10155,Patricia Jones,2005,Female,7.121526661,Engineering
10156,Terry Greene,2005,Male,1.969023369,Physics
10157,Heath Keller,1999,Female,5.275761071,Astronomy
10158,Stephanie Watkins,2003,Female,2.342370316,Psychology
10159,Matilde Woodward,2004,Female,5.252837801,Biology
10160,Robert Triggs,2000,Female,9.300977815,Philosophy
10161,Mary Pollock,2000,Female,2.89365557,History
10162,Martha Kriss,2003,Male,3.6576657,History
10163,Richard Thompson,2000,Male,3.308738725,Economics
10164,Deborah Robinson,1999,Male,3.293763549,Electrical Eng
10165,Doris Martell,2005,Male,9.957355424,Art
10166,Mattie Murdock,2000,Female,9.420812686,Computer Science
10167,Florence Newberry,2004,Female,6.773933417,History
10168,Diana Mateer,2002,Male,4.618925484,Statistics
10169,Mallory Tieman,2001,Male,5.993563433,Physics
10170,Ruben Fujisawa,2000,Male,8.500546122,Computer Science
10171,Sara Carnes,2001,Female,8.446393031,Mathematics
10172,William Smith,2001,Female,1.676637356,Biology
10173,Sarah Evans,2002,Male,8.197330728,Astronomy
10174,Julie Luong,2001,Male,3.104280146,Astronomy
10175,Daniel Ellington,2003,Female,9.412175957,Chemistry
10176,Gertrude Anderson,2000,Female,7.748745978,Electrical Eng
10177,James Johnson,2005,Male,7.759421919,Psychology
10178,Yvonne Burkhart,1999,Male,6.186714272,Art
10179,Staci Teel,2001,Male,3.633083763,History
10180,Hollis Richardson,2001,Female,1.311119888,Philosophy
10181,Joseph Camak,2003,Female,9.79513457,Economics
10182,Andrea Nelson,2004,Male,2.971616621,History
10183,Cythia Alm,2003,Female,9.919725976,Art
10184,Betty Velez,2004,Male,3.814181133,Psychology
10185,Lupe Griffin,2005,Female,2.241494671,Engineering
10186,Matthew Bolf,2005,Male,4.724717112,Astronomy
10187,Hanh Cole,2005,Male,5.311535805,Mathematics
10188,Minnie Perez,2000,Male,5.37445601,Music
10189,Eddie Stevens,2004,Female,5.971932085,Computer Science
10190,Fred Woomer,2001,Female,9.355461116,History
10191,Patricia Stewart,2003,Female,8.291316751,Chemistry
10192,Betty Romero,2005,Male,8.363371055,Statistics
10193,Julie Yang,2004,Female,1.580080129,Psychology
10194,Peter Warner,2002,Male,1.118059771,Astronomy
10195,Cody Smalls,2005,Female,6.2468755,Psychology
10196,Teresa Hunt,2003,Male,1.803818232,Physics
10197,Cecil Harward,2002,Female,2.476436093,Psychology
10198,Christian Stolar,2002,Female,4.510903515,Mathematics
10199,Doris Ross,1999,Male,5.19901335,Statistics
10200,Sara Mcreynolds,2003,Female,7.82037587,Chemistry
10201,Holly Weiss,2004,Female,3.206934607,History
10202,Robert Lawson,2003,Male,5.144155467,History
10203,Maria Rankin,2002,Male,5.343921769,Mathematics
10204,Minerva Hernandez,2004,Female,6.581434659,Astronomy
10205,Patricia Chancellor,2005,Female,9.755730246,Philosophy
10206,Isis Young,2001,Male,6.914928396,Engineering
10207,Margarita Pixley,1999,Female,4.435233224,Mathematics
10208,Lynn Roquemore,2003,Male,1.581475502,Mathematics
10209,Jesse Castellanos,2000,Male,2.283968215,Philosophy
10210,David Hall,2001,Male,1.453086336,Engineering
10211,Justin Ingram,2004,Female,7.94741142,Chemistry
10212,Ronald Crenshaw,2001,Male,1.453266982,Electrical Eng
10213,Nilsa Grimes,2003,Male,1.878295969,Computer Science
10214,Cecil Salvo,2001,Female,2.184263402,Astronomy
10215,Ted Bies,2001,Male,1.174045103,Physics
10216,Scott Pastel,2005,Male,1.746991517,Engineering
10217,Sylvia Ault,2001,Female,4.679604153,Computer Science
10218,Britt Souza,1999,Male,8.674936366,Mathematics
10219,Deborah Davis,2001,Male,2.71607013,Philosophy
10220,Fred Mitchener,2001,Male,4.9136481,Biology
10221,Lucien Prather,1999,Female,6.132300713,Art
10222,Frances Boudreaux,2005,Female,6.304759257,Chemistry
10223,Joyce Ozley,2003,Female,9.782257039,Chemistry
10224,Geneva Williams,2000,Female,2.19478244,Psychology
10225,Darrell Krueger,1999,Female,4.850740015,Mathematics
10226,Anna Levine,2001,Male,9.727489801,Astronomy
10227,Wendy Eplin,2000,Male,9.192022871,Chemistry
10228,Danny Matthes,2005,Female,2.673106226,Economics
10229,Perry Flores,2002,Male,8.399661596,Economics
10230,Jacob Moorehead,2000,Male,9.69433032,Physics
10231,Eldridge Strawn,2002,Female,7.185426844,Economics
10232,Dorothea Brown,2005,Male,2.582181774,Physics
10233,William Cauffman,2003,Male,3.776731176,Art
10234,Shawn Bates,2000,Male,1.515648172,Statistics
10235,Gary Petersen,2005,Male,7.82391636,Music
10236,Steven Bowman,2005,Female,7.478228925,Philosophy
10237,Craig Ray,2000,Male,5.556459393,Philosophy
10238,Jon Krepps,2001,Male,6.75800957,Engineering
10239,Jolanda Johnson,2001,Male,8.896050003,Philosophy
10240,Robert Eldridge,1999,Male,9.582625847,Art
10241,Dustin Evans,2005,Female,6.197344769,Computer Science
10242,John Gooding,2001,Female,1.508578282,Chemistry
10243,Sergio Holland,2004,Male,7.714070164,Engineering
10244,Julia Crawford,2004,Female,9.279839997,History
10245,Jeremy Hicks,2001,Female,6.220912956,Mathematics
10246,Lilian Weibe,2000,Male,5.603642384,Mathematics
10247,Elizabeth Johnson,2002,Female,8.922560987,Mathematics
10248,Gerald Morris,1999,Male,6.12612399,Computer Science
10249,Joy Bourgeois,2002,Male,1.512940491,Chemistry
10250,Leslie Minion,2000,Male,5.785711133,Physics
10251,Rochelle Bohnert,2005,Female,5.35518611,Music
10252,Richard Pitt,1999,Female,3.639180835,Mathematics
10253,James Hart,2000,Female,4.3884547,Engineering
10254,Jeanine Pickle,1999,Male,6.899199812,Mathematics
10255,Alan Nagel,2003,Female,6.74664693,Statistics
10256,Loretta Vangilder,2004,Male,4.49375258,Chemistry
10257,Edward Hall,1999,Male,9.601773605,Psychology
10258,Mary Mccluney,2005,Female,6.758226051,Statistics
10259,Ann Winston,2001,Female,7.88208443,Engineering
10260,Brandon Riley,2000,Male,2.342470558,Philosophy
10261,Terrance Johnson,2002,Male,5.303704942,Astronomy
10262,Dennis Hangartner,2000,Female,4.131666693,Philosophy
10263,Francis Cox,2003,Female,4.86697296,Astronomy
10264,Ginger Vincent,2001,Female,5.102046525,Psychology
10265,Terry Wright,2005,Female,9.668503529,Economics
10266,Claudia Cook,2002,Female,7.234988475,Philosophy
10267,Matthew Londner,2005,Female,6.864634006,History
10268,Nicholas Rosado,2002,Female,2.708630197,Astronomy
10269,George Wallace,1999,Male,2.915723221,Computer Science
10270,Clementine Brucculeri,2003,Male,1.216442542,Philosophy
10271,Terese Curry,2001,Male,5.696287232,Astronomy
10272,Anne Mccay,2005,Female,4.282367865,History
10273,Preston Henry,2001,Female,7.420459011,Mathematics
10274,Timothy Rodriguez,2000,Male,2.68327512,Computer Science
10275,Christine Mayhall,2002,Male,8.618901171,Engineering
10276,Sally Lawson,2003,Female,5.218156695,Mathematics
10277,Carl Barnes,2002,Female,1.638804728,Astronomy
10278,Raymond Dullea,2000,Female,5.800446611,Music
10279,Joseph Canchola,2003,Female,8.77208451,Music
10280,Nell Strong,1999,Male,6.496406609,Economics
10281,Mary Askew,2000,Male,2.82476862,Engineering
10282,Daniel Mecham,2003,Male,9.16857906,Art
10283,Marie Daines,2000,Male,6.30481725,Statistics
10284,Harold Miller,2005,Female,5.655693602,Art
10285,Isaac Skinner,2000,Male,4.775235464,Psychology
10286,Rosita Israel,2004,Male,4.846537612,Psychology
10287,Marc Mulcahy,2001,Male,2.226244289,Computer Science
10288,Roberta Bolt,2003,Male,4.52446741,Mathematics
10289,Elsie Glenn,2001,Female,7.950231174,Statistics
10290,Carolyn Holton,2004,Male,6.954964792,Electrical Eng
10291,Alice Elton,2000,Male,7.834314084,Astronomy
10292,Diane Pippen,2004,Female,9.684103691,Economics
10293,Lorraine Carpentieri,2000,Female,9.8769594,Music
10294,David Higgins,2000,Male,2.557345651,Music
10295,Javier George,2001,Male,1.34401276,Computer Science
10296,Leon Murphy,2004,Female,5.944387647,Art
10297,Jerry Velazquez,2004,Male,6.410331282,Engineering
10298,Richard Chappell,2003,Female,7.495603579,Chemistry
10299,Charles Epps,2004,Female,5.893985908,Electrical Eng
10300,Martin Burrus,2003,Female,6.386391,Computer Science
10301,Janet Fischer,2005,Male,9.802050402,Electrical Eng
10302,Lucy Switzer,2001,Female,8.743562894,Music
10303,Florence Lindsay,2002,Male,4.69317382,Philosophy
10304,Michael Sutphin,2004,Female,6.261808,Art
10305,Jimmie Bowers,2002,Male,8.441860023,Psychology
10306,Brenda Augustus,2005,Male,1.892411058,Chemistry
10307,Maritza Lee,1999,Female,2.718486171,Engineering
10308,Jerry Bell,2002,Female,6.88731571,Computer Science
10309,Geraldine Detrolio,2005,Male,7.85981164,Astronomy
10310,Robert Miller,1999,Male,8.90294599,Music
10311,Thomas Deatherage,2000,Female,3.368164438,Philosophy
10312,Patsy Stephens,2004,Female,1.252880779,Astronomy
10313,Carlos Burch,2004,Female,2.715103042,Psychology
10314,Tammy Chambers,2001,Female,8.590882063,Astronomy
10315,Kevin Courtney,2000,Male,8.536219884,Engineering
10316,George Bates,2005,Female,4.923830727,Mathematics
10317,Eleanor Sylvester,2002,Male,6.50478852,Engineering
10318,Sonya Robinson,2001,Male,6.9726565,Biology
10319,James Serrato,2001,Male,3.917502378,Statistics
10320,Annette Porte,1999,Male,5.516100238,Electrical Eng
10321,Hallie Castle,2004,Female,1.191316607,Music
10322,Brian Corr,2002,Female,6.713457123,Statistics
10323,Manuel Birchfield,2001,Male,1.289910378,Music
10324,Georgie Schaich,2001,Male,1.1730726,Electrical Eng
10325,Charles Neff,2004,Female,1.918705844,Biology
10326,Liberty Andresen,2002,Female,3.808801375,Astronomy
10327,Hilary Thomas,2002,Male,5.480327298,Statistics
10328,Brett Walker,1999,Female,8.927067598,Art
10329,Norma Gates,2004,Male,1.595563723,Chemistry
10330,Chia Ruch,2003,Female,6.212009318,Chemistry
10331,Carla Sergio,1999,Male,4.209689298,Music
10332,Rosa Laverriere,2002,Female,7.62669128,Mathematics
10333,Mathew Weaver,2000,Male,2.34663022,Biology
10334,Elizabeth Marvin,2005,Male,6.37390035,Electrical Eng
10335,Sergio Bernard,2000,Male,6.943473341,Art
10336,Mary Walker,2004,Female,8.196007722,Statistics
10337,Dennis White,1999,Male,6.258981839,Engineering
10338,Nathan Orbeck,2000,Female,2.910011426,Biology
10339,Angela Watkins,2000,Male,6.990364371,Chemistry
10340,Michael Lentz,2001,Male,1.59320854,Psychology
10341,Walter Fisher,2001,Male,6.736335965,Psychology
10342,Geri Pringle,2002,Female,1.934295501,Art
10343,Shirley Schneider,2001,Female,8.457043575,Statistics
10344,Tuan Pitts,2003,Male,6.949355379,Chemistry
10345,Carl Walker,2003,Male,3.625958763,Mathematics
10346,Martin Dykas,2004,Male,4.34096557,Computer Science
10347,Jason Perez,2003,Female,5.182554126,Chemistry
10348,Eva Warren,2002,Male,9.554002712,Psychology
10349,Tamara Pinc,2005,Male,3.841352902,History
10350,Nancy Reynolds,2005,Female,7.225028374,Music
10351,Gordon Artis,1999,Male,8.739516959,Philosophy
10352,Dominique Farmer,1999,Male,5.482907868,History
10353,Todd Mumford,2001,Female,1.840469044,Mathematics
10354,Bo Crow,2001,Female,9.314612892,Computer Science
10355,Ahmed Figueras,2002,Male,1.882010539,Physics
10356,Neil Nardone,1999,Female,8.44145597,Electrical Eng
10357,Rodney Konieczny,2000,Female,9.607212149,Chemistry
10358,Marcella Price,2002,Male,7.168653745,Astronomy
10359,June Rodgers,2003,Female,4.948897111,Astronomy
10360,Marjorie Lewis,2004,Female,8.310173208,Art
10361,Katherine Mink,1999,Female,2.995556499,History
10362,Richard Latson,2005,Female,7.15955221,Astronomy
10363,Tricia Philips,2001,Female,9.606782223,History
10364,Fred Martinez,2003,Female,6.591547972,Music
10365,Vernon Lewis,2001,Female,2.717023841,Art
10366,Lauren Carrier,2002,Female,2.106791258,Music
10367,Sharon Jackson,2005,Male,7.633877562,Statistics
10368,Cora Castilo,2000,Female,8.274311928,Computer Science
10369,Amelia Tutwiler,2001,Female,1.504885642,Astronomy
10370,Donald Simonson,2001,Male,6.868875889,Music
10371,Elizabeth Schwindt,2004,Female,4.771180197,Biology
10372,James Dawson,1999,Female,7.58041514,Biology
10373,Stella Sixkiller,2000,Female,7.460057815,Psychology
10374,Kevin Allen,2005,Male,4.838780869,Psychology
10375,Burt Wolfe,2002,Female,7.371149733,Art
10376,Lupe Scovel,2003,Female,6.225534913,Economics
10377,Connie Ward,2000,Female,4.820753461,Electrical Eng
10378,Liliana Sutterfield,2001,Male,8.47652166,Art
10379,Mary Sorrentino,2003,Male,1.617985878,Art
10380,Gregory Sharpe,2001,Male,2.978382893,Chemistry
10381,Louie Johns,1999,Female,1.673447862,Astronomy
10382,Becky Willson,2003,Female,8.926026002,Psychology
10383,Michael Gioia,2003,Female,7.340216683,Psychology
10384,Russell Payne,2000,Male,1.578062682,Art
10385,Melanie Hogarth,2001,Female,3.415204145,Biology
10386,Gary Taylor,2000,Male,2.364783171,Electrical Eng
10387,Nicole Bair,2000,Male,9.451017181,Electrical Eng
10388,Vincent Martinez,2003,Female,3.574684923,Statistics
10389,Christopher Ward,2001,Male,3.714807528,Chemistry
10390,Jason Deaton,2000,Male,6.573476005,Psychology
10391,Robert Donald,1999,Female,4.946131488,History
10392,Lien Crandell,2000,Female,3.100891427,Electrical Eng
10393,Wayne Turner,2000,Female,3.779656207,Electrical Eng
10394,Becky Pitts,1999,Female,4.778073902,Physics
10395,Edna Caldwell,2000,Female,1.552954302,Mathematics
10396,Wayne Macdonald,2001,Male,4.754600031,Astronomy
10397,Beverly Drye,1999,Male,9.247815671,Art
10398,Carrie Clemons,2005,Male,5.118683365,Economics
10399,John Ritchey,1999,Male,7.513356483,Economics
10400,Michael Vizcaino,2005,Male,8.453527024,Computer Science
10401,Hermelinda Baer,2000,Male,7.399935735,Electrical Eng
10402,Janet Farr,1999,Male,1.50124526,Physics
10403,Carmen Hernandez,2003,Female,3.730863794,Astronomy
10404,Gregory Walter,2003,Female,4.654706626,History
10405,Manual Powell,2000,Male,5.914601152,Chemistry
10406,Lois Gonzalez,2004,Male,1.421435285,Physics
10407,Stefan Roberts,2005,Female,8.197629918,Physics
10408,Vicente Archer,1999,Male,9.431425353,Mathematics
10409,Alexander Creekmore,1999,Male,1.26353395,Statistics
10410,Paul Anderson,2004,Female,3.14558248,Statistics
10411,Danny Roberts,2003,Female,3.394562843,Statistics
10412,Robert Thomas,1999,Female,2.1640662,Economics
10413,Renee Collins,1999,Male,9.215722886,Psychology
10414,Dona Hord,2003,Male,9.237919072,Economics
10415,Crystal Young,2001,Male,5.453127615,Statistics
10416,Michael Degrenier,1999,Male,9.136111133,Physics
10417,Janet Duncan,2000,Female,7.634448777,Art
10418,Jeff Poulin,2004,Male,4.489022354,Physics
10419,Janna Dibartolomeo,2003,Female,2.250181977,Statistics
10420,Harriett Ultseh,2004,Female,5.464106767,Art
10421,Gilberto Finley,2002,Male,5.170719972,History
10422,John Levites,2005,Female,4.5200074,Electrical Eng
10423,Steve Bell,2001,Female,1.935113623,Physics
10424,Daniel Kidder,2005,Male,1.948814498,Art
10425,Elsie Chen,2003,Female,2.257712419,Engineering
10426,Tara Peyton,2001,Male,9.808126758,Computer Science
10427,Brian Patterson,2003,Male,8.960994199,Mathematics
10428,Clotilde Matthews,2005,Male,4.340983811,Computer Science
10429,John Steinberg,2005,Male,7.536854374,Economics
10430,Irene Florez,2003,Female,4.864038255,Chemistry
10431,William Reed,2000,Male,1.155580026,Mathematics
10432,John Rogers,2002,Male,6.278185954,History
10433,Burt Felty,1999,Male,3.791237443,Philosophy
10434,Peter Drabek,2002,Male,8.4783117,Physics
10435,Rosario Porter,1999,Female,7.856987177,Computer Science
10436,Jennifer Peterson,2005,Male,6.805975771,Physics
10437,George Campos,2002,Male,5.79031458,Art
10438,Iris Morris,2004,Male,6.6737836,Philosophy
10439,Tara Ford,1999,Female,2.207955021,Statistics
10440,Cassandra Harris,2000,Male,4.590342336,Physics
10441,Vicky Grover,2005,Female,8.181254924,Computer Science
10442,Cora Mullis,1999,Male,9.802810754,Music
10443,James Albritton,2001,Female,8.982699679,Psychology
10444,Jessica Hale,2000,Female,5.899874291,Economics
10445,Lisa Costello,2000,Female,2.102846039,Engineering
10446,Mary Surbaugh,2003,Male,5.649685097,Music
10447,William Parker,2001,Male,3.892904091,Chemistry
10448,Jessie Johnson,2002,Male,2.292347641,Electrical Eng
10449,Katherine Herrington,2001,Male,1.589995903,Statistics
10450,Eric Mercer,2002,Male,7.164614421,History
10451,Arnold Frontz,2004,Female,6.641831669,Statistics
10452,Roger Foley,2002,Female,8.46045791,Electrical Eng
10453,Betty Strong,2002,Female,3.426616616,Computer Science
10454,Mildred Apodaca,2001,Female,6.883635603,Astronomy
10455,Roseann Moses,2000,Female,2.15921567,Chemistry
10456,Frances Trent,2004,Female,6.733656807,Electrical Eng
10457,Jeannie Bates,1999,Male,3.143110449,Chemistry
10458,Derek Dotson,2000,Female,7.322984789,Electrical Eng
10459,Jean Benedict,2000,Male,7.164523157,Computer Science
10460,Vicki Bartkowski,2005,Male,9.840992973,Biology
10461,Miguel Clark,2004,Female,1.11663343,Mathematics
10462,Raymond Johnson,2001,Male,1.545663453,Biology
10463,Cindy Milstead,2000,Female,7.865339681,Computer Science
10464,Grace Keith,2004,Female,2.359332367,Computer Science
10465,Pamela Yanez,2003,Female,1.881544819,Physics
10466,Alice Perry,2003,Female,7.165457694,Philosophy
10467,Elmer Stone,2001,Male,9.588703172,Chemistry
10468,Larry Torres,2002,Female,7.893034135,Biology
10469,Joshua Pohl,2001,Female,1.765486177,Biology
10470,David Hunt,2000,Male,9.821829596,Philosophy
10471,John Evans,2000,Male,6.965095596,Art
10472,Mary Bussey,2003,Female,1.131841882,Psychology
10473,Arthur Johnson,1999,Female,3.81640652,Chemistry
10474,Zachary Erekson,1999,Female,3.270554522,Economics
10475,Keith Pulliam,2003,Female,9.423856092,Chemistry
10476,Howard Wyatt,2003,Female,1.746472308,Engineering
10477,Magda Fritz,2001,Male,8.521890993,Psychology
10478,William Pantoja,2005,Female,5.155275249,Engineering
10479,David Hester,2005,Male,6.957456803,Music
10480,Deborah Cronin,2002,Male,4.341123,Art
10481,Lisa Crowson,2000,Male,8.50308992,Music
10482,Sean Davenport,2000,Male,1.803540796,History
10483,Linda Gullett,2000,Male,8.545731215,Electrical Eng
10484,Charles Parker,1999,Female,6.71509065,Art
10485,Linda Kim,2005,Male,1.936802242,Art
10486,Lee Lopez,2001,Male,4.555723119,Philosophy
10487,James Blanchard,2001,Female,1.124070279,Chemistry
10488,Leon Tatum,2005,Male,3.446459298,Psychology
10489,Shaquana Graham,1999,Male,8.599050578,Astronomy
10490,Lana Nelson,2005,Female,1.712111777,Physics
10491,Anastasia Rogers,2002,Male,1.980750887,Computer Science
10492,Anthony Damico,2000,Female,5.626885329,Philosophy
10493,Lydia Jeanlouis,2003,Male,3.983675591,Engineering
